<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;180321;000000;258;270;257.23;268.88;69873420
SBER;D;180322;000000;269.97;271.8;264.1;265.5;55515720
SBER;D;180323;000000;259.03;264.25;259.03;262;45451970
SBER;D;180326;000000;262.02;264.87;255;255;56781030
SBER;D;180327;000000;256.99;258.43;252.27;258;45103320
SBER;D;180328;000000;255.5;256.12;250.75;251.5;43708220
SBER;D;180329;000000;252.14;255.6;252.14;252.9;33595950
SBER;D;180330;000000;254.02;254.49;252.8;253.57;10854540
SBER;D;180402;000000;253.6;258.34;249.99;249.99;35423370
SBER;D;180403;000000;250.01;251.93;245.38;251.6;63712830
SBER;D;180404;000000;252.22;255.77;249.09;255.69;51988700
SBER;D;180405;000000;257.26;262.89;255.92;262;52541810
SBER;D;180406;000000;260.64;262.32;256.01;256.76;40147790
SBER;D;180409;000000;255.1;255.3;205;213;249893540
SBER;D;180410;000000;211.24;224.47;197;215.48;242110550
SBER;D;180411;000000;213.98;223.6;204.24;208;185548360
SBER;D;180412;000000;214.59;218.39;208.5;212.21;126646690
SBER;D;180413;000000;213.36;216.7;203.14;204.7;106807820
SBER;D;180416;000000;199.35;208;191.5;192.06;199130330
SBER;D;180417;000000;203.03;207.87;200;207.5;168916840
SBER;D;180418;000000;209.02;219.93;208.25;215.87;173838350
SBER;D;180419;000000;217.34;222.22;212;213.45;133397880
SBER;D;180420;000000;214.02;216.27;212.13;215.36;57747950
SBER;D;180423;000000;216.48;223.5;213.22;223.25;116819360
SBER;D;180424;000000;225.92;228.43;221.3;223;83740550
SBER;D;180425;000000;220.13;223.78;218.2;220.45;69521980
SBER;D;180426;000000;221.57;222.59;216;220.7;73144200
SBER;D;180427;000000;221.37;224.43;217.62;223.91;81902940
SBER;D;180428;000000;224.4;224.99;222.4;224.8;10305690
SBER;D;180430;000000;224.5;228.2;221.58;226.99;39339460
SBER;D;180502;000000;224.5;230;224.02;229.02;39843120
